5 5 
5.67651 5.38599 
9.57206 7.52956 
10.2878 7.87715 
11.8732 8.6123 
12.6905 8.98828 
13.8752 9.54666 
15.4014 10.3794 
17.0205 11.2065 
18.0453 11.8107 
19.006 12.3727 
19.7793 12.6678 
20.4925 12.8549 
21.2608 13.0875 
22.2467 13.5989 
22.4471 13.6845 
23.4732 14.1282 
24.7926 14.8603 
26.0124 15.3325 
27.2333 15.9009 
27.8546 16.1422 
29.1612 16.688 
30.1207 17.0163 
31.2765 17.5171 
31.5205 17.6512 
32.2146 17.8776 
33.2022 19.3207 
34.2703 20.5479 
35.4817 21.6811 
36.4816 22.5941 
36.9906 23.0422 
38.2202 24.0865 
39.1162 24.7447 
40.2344 25.4329 
41.2747 26.2134 
42.4222 26.9328 
43.1222 27.6541 
43.4438 28.0012 
45.0411 30.2592 
46 32 

